"Ind","Sex","Group","variable","value"
"4_23","f","Black","Hum1",316
"4_24","f","Black","Hum1",319
"4_25","f","Black","Hum1",322
"4_26","f","Black","Hum1",326
"4_27","f","Black","Hum1",329
"4_28","f","Black","Hum1",332
"4_29","f","Black","Hum1",335
"4_30","f","Black","Hum1",339
"4_31","f","Black","Hum1",342
"4_32","f","Black","Hum1",345
"4_33","f","Black","Hum1",348
"4_34","f","Black","Hum1",352
"4_35","f","Black","Hum1",355
"4_36","f","Black","Hum1",358
"4_37","f","Black","Hum1",361
"4_38","f","Black","Hum1",365
"4_39","f","Black","Hum1",368
"4_40","f","Black","Hum1",371
"4_41","f","Black","Hum1",374
"4_42","f","Black","Hum1",378
"4_43","f","Black","Hum1",381
"4_44","f","Black","Hum1",384
"4_45","f","Black","Hum1",387
"2_25","m","Black","Hum1",349
"2_26","m","Black","Hum1",352
"2_27","m","Black","Hum1",356
"2_28","m","Black","Hum1",359
"1_1","m","White","Rad1",193
"1_2","m","White","Rad1",196
"1_3","m","White","Rad1",198
"1_4","m","White","Rad1",201
"1_5","m","White","Rad1",204
"1_6","m","White","Rad1",206
"1_7","m","White","Rad1",209
"1_8","m","White","Rad1",212
"1_13","m","White","Rad1",225
"1_14","m","White","Rad1",228
"1_15","m","White","Rad1",230
"1_16","m","White","Rad1",233
"1_17","m","White","Rad1",235
"1_18","m","White","Rad1",238
"1_19","m","White","Rad1",241
"1_20","m","White","Rad1",243
"1_21","m","White","Rad1",246
"1_22","m","White","Rad1",249
"1_23","m","White","Rad1",251
"1_24","m","White","Rad1",254
"1_25","m","White","Rad1",257
"1_26","m","White","Rad1",259
"1_27","m","White","Rad1",262
"1_28","m","White","Rad1",265
"1_29","m","White","Rad1",267
"1_30","m","White","Rad1",270
"1_31","m","White","Rad1",272
"1_32","m","White","Rad1",275
"1_33","m","White","Rad1",278
"1_34","m","White","Rad1",280
"1_35","m","White","Rad1",283
"1_36","m","White","Rad1",286
"1_37","m","White","Rad1",288
"1_38","m","White","Rad1",291
"1_39","m","White","Rad1",294
"1_40","m","White","Rad1",296
"1_41","m","White","Rad1",299
"1_42","m","White","Rad1",302
"1_43","m","White","Rad1",304
"1_44","m","White","Rad1",307
"1_45","m","White","Rad1",309
"1_46","m","White","Rad1",312
"1_47","m","White","Rad1",315
"2_1","m","Black","Rad1",206
"2_2","m","Black","Rad1",209
"2_3","m","Black","Rad1",212
"2_4","m","Black","Rad1",215
"2_5","m","Black","Rad1",218
"2_6","m","Black","Rad1",221
"2_7","m","Black","Rad1",224
"2_8","m","Black","Rad1",226
"2_9","m","Black","Rad1",229
"2_10","m","Black","Rad1",232
"2_11","m","Black","Rad1",235
"2_12","m","Black","Rad1",238
"2_13","m","Black","Rad1",241
"2_14","m","Black","Rad1",244
"2_15","m","Black","Rad1",247
"2_16","m","Black","Rad1",250
"2_17","m","Black","Rad1",253
"2_18","m","Black","Rad1",256
"2_19","m","Black","Rad1",259
"2_20","m","Black","Rad1",262
"2_21","m","Black","Rad1",264
"2_22","m","Black","Rad1",267
"2_23","m","Black","Rad1",270
"2_24","m","Black","Rad1",273
"2_25","m","Black","Rad1",276
"2_26","m","Black","Rad1",279
"2_27","m","Black","Rad1",282
"2_28","m","Black","Rad1",285
"2_29","m","Black","Rad1",288
"2_30","m","Black","Rad1",291
"2_31","m","Black","Rad1",294
"2_32","m","Black","Rad1",297
"2_33","m","Black","Rad1",300
"2_34","m","Black","Rad1",302
"2_35","m","Black","Rad1",305
"2_36","m","Black","Rad1",308
"2_37","m","Black","Rad1",311
"2_38","m","Black","Rad1",314
"2_39","m","Black","Rad1",317
"2_40","m","Black","Rad1",320
"2_41","m","Black","Rad1",323
"2_42","m","Black","Rad1",326
"2_43","m","Black","Rad1",329
"2_44","m","Black","Rad1",332
